user,prediction
e98a93bfc7,0.0
d813ccb3f5,1.0
3d07a90a91,0.0
5791e966d8,0.0
d982336d49,0.0
31f1c27b8b,0.0
49b5515883,0.0
1f626ad0ca,0.0
cd8649b0b5,1.0
2d52aff849,0.0
a4888d26e0,0.0
942136d8d1,0.0
1b9078042b,0.0
dc6d7d7321,0.0
2f29f7f985,0.0
d97afc96c8,0.0
b5e1bb742e,0.0
7479d52702,0.0
eb825bb808,0.0
fa5e19df4b,0.0
c275a8f43b,0.0
75c111adb5,0.0
fc291771af,1.0
37d0b8e8b6,0.0
ff779b427a,0.0
1e49bbaf1f,0.0
f436f7fc36,1.0
0e235cf676,0.0
0df7005b13,0.0
3ebb92f34c,1.0
74d9b4aa20,0.0
f0f62a0908,0.0
8445045ca8,0.0
487c0b67a9,0.0
8e0354be60,0.0
77915f620b,0.0
7a56ebc3b3,0.0
fc270b2e1f,0.0
15729a0667,0.0
f707f9a943,1.0
0c05e59e7a,0.0
12d4719bf6,0.0
1fdc1ccdab,0.0
2230a3b912,0.0
e6a353d81c,0.0
27d38deaa5,0.0
f4b1bc7483,0.0
15a56d8f1d,0.0
3d4c8fc654,0.0
181e9106e8,0.0
35947b85c1,0.0
61532cee5e,0.0
c2e2c4fd8b,0.0
45a5525796,0.0
b091da88e5,1.0
c97c5fd443,0.0
a4faa25a83,0.0
68a4c6f726,0.0
7d79e7402b,0.0
588f20c443,0.0
0716c90528,0.0
50ba95d560,0.0
690d9ed13b,0.0
7ad6166185,0.0
c6349d1a32,0.0
979c4d6a82,0.0
efb22faeff,0.0
b287b43b5b,0.0
7b7c75c638,0.0
a988468f24,0.0
c1f029f521,0.0
1c42833e8b,0.0
410d5b81c8,0.0
42eaef544c,1.0
186a29e16b,1.0
cfa22357d3,0.0
ad7d7cb93c,0.0
7343478f56,0.0
4349a03cda,0.0
ac208e3250,0.0
22572777d1,0.0
7f8499e318,0.0
fc7bd0c7db,0.0
dc93cb3cd1,0.0
78fda14f41,0.0
8bf14f74a5,0.0
c6dc4fcdfb,0.0
6bfdba46ce,0.0
fad95fdc15,0.0
8270bd52d8,0.0
c0728eaf2e,0.0
224dcc176f,0.0
fcdf29e034,0.0
d655703268,0.0
7d08ea499c,1.0
6dc27c5618,0.0
d59ca8e30b,0.0
cd89f43955,0.0
8a4a00cd26,0.0
3c48910119,0.0
cf1ffe60fa,0.0
8e6823ee4d,0.0
864111b074,0.0
1b2d6ce20e,0.0
9659642a02,0.0
fe0d4fd3c9,0.0
7c1119601b,0.0
d16d1424b4,0.0
2edbe26993,1.0
16541941cd,0.0
60645c2cc6,0.0
f31c383065,0.0
d663bcc29b,0.0
5d298e4976,1.0
53074de4dc,0.0
57ac62589d,0.0
47cd3191f9,0.0
9effadc9c8,0.0
645a6d1e52,0.0
f477049f74,1.0
bc1647fbbe,0.0
79c3effa29,0.0
ff3d9bfd9a,0.0
d7ebbf54e5,0.0
d9d69746c6,0.0
162e6b4b4d,0.0
2aeef75cab,0.0
2d8f334070,0.0
8723992065,0.0
7aa5626fbe,0.0
a322f3e459,0.0
fd61c32c54,0.0
4d3a02004a,1.0
4059176445,0.0
b6ac97fa6e,0.0
9e0b95a5fd,0.0
9239471c1f,0.0
9302f97a11,0.0
390444a94a,0.0
07ea1df0d0,0.0
b2c8e72f0e,0.0
c809ec1117,0.0
4a3b969ce9,0.0
02334b3014,0.0
88952e424a,0.0
1928b5f93e,0.0
50da602eaa,0.0
1892cc530b,0.0
61b1134991,0.0
19fa4817f5,0.0
4946175ae6,0.0
69613eefd2,0.0
f70c241d93,0.0
7424d91989,1.0
cc3072b8d8,0.0
25b6d16f24,0.0
7220d6e16a,0.0
9d405bcd92,0.0
b7c493c166,0.0
cc41ba408c,1.0
b16db2abb5,0.0
dc5b28f354,0.0
ca7cf5d8aa,0.0
7b9cdf46f4,0.0
aca1737023,1.0
22666ccaeb,1.0
bfe79d8b41,0.0
824d4a27d7,0.0
f7b6ca430f,0.0
4a7c1f2833,0.0
39a428819e,0.0
498a79271b,0.0
1b8d1f0c94,0.0
2ed6a352aa,0.0
3d57566c52,0.0
312c9aa51c,0.0
154b04a48d,0.0
85690a392e,1.0
b4c8707d26,0.0
b2c3f37435,0.0
314ab92bd4,0.0
0db43b421f,0.0
6966ea9c8a,0.0
641afa0103,1.0
f483e61fc8,0.0
98dfff9c3a,0.0
cef3430ce7,0.0
f77f6419d3,0.0
d8c0a05290,0.0
22d3d84ffe,0.0
7e4d4cb11e,1.0
3cfad41520,0.0
53f87cf25f,0.0
8bca58247c,0.0
e180a5f4e9,0.0
95774f38e3,0.0
39bfbeff2b,1.0
eb89e63da5,0.0
9475988ae9,0.0
61d4ef8c60,0.0
0c27763088,0.0
48928522ac,0.0
9802ce87c7,0.0
4d5a3490da,0.0
81e944e26b,0.0
0fcd9b1da5,0.0
a342358fb1,0.0
5ebb789c99,0.0
94f837312f,0.0
9662f9d3a9,0.0
017154ea99,0.0
cbede5a444,0.0
c6743c8b09,0.0
320e26e909,0.0
a0162973b6,1.0
a313e26208,0.0
6984573fc1,0.0
529143a636,0.0
85b63149af,0.0
c39cc11fa7,0.0
40903f8b29,0.0
8293393325,0.0
5dac5c1675,0.0
1ab1424e50,0.0
2714ca22de,0.0
0e0ca018c6,0.0
8acee71582,0.0
27bc050f07,0.0
d9dcae259f,0.0
c7ca5fc650,0.0
a11b2a1071,0.0
535025887e,0.0
6ce4671bf8,1.0
a90d75c555,0.0
0b67181250,0.0
6e4b8f1e8c,1.0
d8ffa802a6,0.0
560624a79e,0.0
2d7cf3631b,0.0
6dd7456587,0.0
b4cfb2fe92,0.0
7a1fab86a4,1.0
baec6ee12e,0.0
bdcd512f9d,0.0
80f5a437cb,0.0
7958715e1f,0.0
7cb0c7fa9e,0.0
944b5a98d5,0.0
17c2c30bd1,0.0
0f611596e1,0.0
6528ef9be2,0.0
bb27aa4c3d,1.0
0859b80eeb,1.0
597a3955ac,0.0
f9fe401cd9,0.0
f0d9b6537d,0.0
c82a837dd8,0.0
fccdaa14a9,0.0
b4bbabdf3d,0.0
49bed39cff,0.0
2577223d20,0.0
8df4c61582,1.0
e3c5b08861,1.0
b619ef730c,0.0
5c0a4e805a,0.0
d551f26ed0,0.0
a87e5438fb,0.0
4928c6c17a,0.0
ee9bb72261,0.0
11566ea228,0.0
e07d85ad14,0.0
7b52d7b9e3,0.0
b5b2294e75,0.0
764da80b0a,0.0
6b5f22f344,0.0
dc6011e204,1.0
d40bbc6946,0.0
5ef330597a,0.0
4deca2006c,0.0
a9bd41d627,0.0
096f5d594b,0.0
80df2e762b,0.0
dff232bd77,0.0
32fd694c9f,0.0
d04e561a02,0.0
deb14b559b,0.0
f4a032830d,0.0
52643699f6,0.0
6682c8d763,1.0
7558216ab8,0.0
c4228fdb4f,0.0
3253c8c310,0.0
c970b11977,0.0
54983dbfcc,0.0
4db21d5117,0.0
17434caba3,0.0
ba6a55e088,0.0
c17a74c77f,0.0
bb49caf768,0.0
04cb0a82a1,0.0
2afed9896d,0.0
